existing_id,school_name,school_name_reading,official_school_name,department,course,track,area,reference_year,status,capacity,special_quota_number,special_quota_percent,general_ratio,ratio_type,special_selection_available,main_eligibility,main_achievements,interview,additional_tests,summary,source_count,data_completeness,review_required
nago-f,名護,なご,沖縄県立名護高等学校,普通科,,全日制,北部,令和8年度,previous_reference,240,60,25,4.5:5.5,exam_emphasis_4_5_5_5,True,3年間の評定平均4.0以上／行動・出席状況が良好／文化・スポーツ・社会活動・資格等でDランク以上の実績を1つ以上有すること,文化／スポーツ／社会活動・ボランティア／資格／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。 検査は面接。,7,school_detail_confirmed,True
nagosho-sh,名護商工,なごしょうこう,沖縄県立名護商工高等学校,商業科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
nagosho-cs,名護商工,なごしょうこう,沖縄県立名護商工高等学校,地域産業科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
nagosho-km,名護商工,なごしょうこう,沖縄県立名護商工高等学校,工業技術科,機械,全日制,北部,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
nagosho-kd,名護商工,なごしょうこう,沖縄県立名護商工高等学校,工業技術科,電気,全日制,北部,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
nagosho-ke,名護商工,なごしょうこう,沖縄県立名護商工高等学校,建築科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
nagosho-sj,名護商工,なごしょうこう,沖縄県立名護商工高等学校,総合情報科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／学校別実績表あり,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,10,school_detail_confirmed,True
koyo-kb,向陽,こうよう,沖縄県立向陽高等学校,国際文科,,全日制,南部,令和8年度,previous_reference,80,36,45,4:6,exam_emphasis_4_6,True,英語の3年間評定平均4.0以上／全教科の3年間評定平均4.0以上／活動実績1件を証明できること,文化／スポーツ／社会活動／ボランティア／資格／学校別実績表あり,1分間スピーチを含む個人面接／個人面接内／5点,1分間スピーチ・面接,令和8年度参考。一般選抜は4:6。特色選抜は45%以内。 検査は面接・1分間スピーチ・面接。,9,school_detail_confirmed,True
koyo-f,向陽,こうよう,沖縄県立向陽高等学校,普通科,,全日制,南部,令和8年度,previous_reference,80,20,25,4:6,exam_emphasis_4_6,True,全教科の3年間評定平均4.0以上／活動実績1件を証明できること,文化／スポーツ／社会活動／ボランティア／資格／学校別実績表あり,1分間スピーチを含む個人面接／個人面接内／5点,1分間スピーチ・面接,令和8年度参考。一般選抜は4:6。特色選抜は25%以内。 検査は面接・1分間スピーチ・面接。,9,school_detail_confirmed,True
koyo-ri,向陽,こうよう,沖縄県立向陽高等学校,理数科,,全日制,南部,令和8年度,previous_reference,80,36,45,4:6,exam_emphasis_4_6,True,数学・理科それぞれの3年間評定平均4.0以上／全教科の3年間評定平均4.0以上／活動実績1件を証明できること,文化／スポーツ／社会活動／ボランティア／資格／学校別実績表あり,1分間スピーチを含む個人面接／個人面接内／5点,1分間スピーチ・面接,令和8年度参考。一般選抜は4:6。特色選抜は45%以内。 検査は面接・1分間スピーチ・面接。,9,school_detail_confirmed,True
kadena-ca,嘉手納,かでな,沖縄県立嘉手納高等学校,総合学科,キャリアアップ,全日制,中部,令和8年度,previous_reference,15,3,20,5:5,standard_5_5,True,評定平均3.0以上／学校資料の欠席・活動要件を満たすこと,学習・資格／部活動・文化活動／生徒会・地域活動／学校別実績表あり,個人面接／40点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,9,school_detail_confirmed,True
kadena-dd,嘉手納,かでな,沖縄県立嘉手納高等学校,総合学科,ドリームデザイン,全日制,中部,令和8年度,previous_reference,185,37,20,5:5,standard_5_5,True,評定平均2.8以上／学校資料の欠席・活動要件を満たすこと,学習・資格／部活動・文化活動／生徒会・地域活動／学校別実績表あり,個人面接／40点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,9,school_detail_confirmed,True
ginoza-f,宜野座,ぎのざ,沖縄県立宜野座高等学校,普通科,,全日制,北部,令和8年度,previous_reference,120,30,25,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,特別活動／部活動／資格／社会・地域活動／当該年度の公式ランク表を確認できず,活動実績等の説明を含む面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・プレゼン。,7,school_detail_confirmed,True
ginowan-spo,宜野湾,ぎのわん,沖縄県立宜野湾高等学校,普通科,スポーツ・健康,全日制,中部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,3年間の評定平均3.0以上（評定合計81以上）／評定1がない／各学年の無届欠席5日以下／3年間の無届欠席10日以下／3年間の全欠席15日以下,学習・資格／文化・スポーツ／生徒会・社会活動／学校別実績表あり,個人面接／5分程度／10点,個人面接／実技検査,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・実技・個人面接・実技検査。,9,school_detail_confirmed,True
ginowan-joho,宜野湾,ぎのわん,沖縄県立宜野湾高等学校,普通科,情報処理,全日制,中部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,3年間の評定平均3.3以上（評定合計90以上）／評定1がない／各学年の無届欠席5日以下／3年間の無届欠席10日以下／3年間の全欠席15日以下,学習・資格／文化・スポーツ／生徒会・社会活動／学校別実績表あり,個人面接／5分程度／10点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
ginowan-f,宜野湾,ぎのわん,沖縄県立宜野湾高等学校,普通科,普通,全日制,中部,令和8年度,previous_reference,160,40,25,5:5,standard_5_5,True,3年間の評定平均3.5以上（評定合計95以上）／評定1がない／各学年の無届欠席5日以下／3年間の無届欠席10日以下／3年間の全欠席15日以下,学習・資格／文化・スポーツ／生徒会・社会活動／学校別実績表あり,個人面接／5分程度／10点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
miyako-br,宮古,みやこ,沖縄県立宮古高等学校,文理探究科,,全日制,宮古・八重山,令和8年度,previous_reference,80,32,40,4.5:5.5,exam_emphasis_4_5_5_5,True,評定平均4.0以上／活動実績1件を証明できること,文化／スポーツ／社会活動／ボランティア／資格／当該年度の公式ランク表を確認できず,個人面接（目安10分）／50点,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
miyako-f,宮古,みやこ,沖縄県立宮古高等学校,普通科,,全日制,宮古・八重山,令和8年度,previous_reference,160,32,20,4.5:5.5,exam_emphasis_4_5_5_5,True,評定平均3.4以上／活動実績1件を証明できること,文化／スポーツ／社会活動／ボランティア／資格／当該年度の公式ランク表を確認できず,個人面接（目安10分）／50点,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は20%以内。 検査は面接。,9,school_detail_confirmed,True
miyakoko-sj,宮古工業,みやここうぎょう,沖縄県立宮古工業高等学校,生活情報科,,全日制,宮古・八重山,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・学校独自検査・個人面接。,8,school_detail_confirmed,True
miyakoko-jm,宮古工業,みやここうぎょう,沖縄県立宮古工業高等学校,自動車機械システム科,,全日制,宮古・八重山,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・学校独自検査・個人面接。,8,school_detail_confirmed,True
miyakoko-dj,宮古工業,みやここうぎょう,沖縄県立宮古工業高等学校,電気情報科,,全日制,宮古・八重山,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・学校独自検査・個人面接。,8,school_detail_confirmed,True
miyasou-sh,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,商業科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／評定1がないこと／欠席3年間合計20日以内,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接（目安10分）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
miyasou-kk,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,海洋科学科,,全日制,宮古・八重山,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.0以上／評定1がないこと／各学年の無届欠席5日以内,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接（目安15分。地域の農業・環境に関する質問と1分自己PR）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
miyasou-sf,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,生活福祉科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,海洋科学科の学校資料に定める評定・出欠要件を満たすこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,学科別面接／100点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
miyasou-sb,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,生物生産科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／各学年に評定1がないこと／各学年の無届欠席5日以内,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文。,9,school_detail_confirmed,True
miyasou-fc,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,食と環境科,フードクリエイト,全日制,宮古・八重山,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,評定平均3.5以上／評定1がないこと／各学年の無届欠席5日以内,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接（20～25分、魚の基礎的な調理知識を含む）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
miyasou-kc,宮古総合実業,みやこそうごうじつぎょう,沖縄県立宮古総合実業高等学校,食と環境科,環境クリエイト,全日制,宮古・八重山,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,評定平均3.5以上／評定1がないこと／各学年の無届欠席5日以内,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,集団面接・討論（2～4人、10～20分）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
oroku-biz,小禄,おろく,沖縄県立小禄高等学校,普通科,情報ビジネス,全日制,南部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,通常枠は評定平均3.2以上／特別枠は評定平均2.8以上,特別活動／部活動・文化活動／資格／社会活動／当該年度の公式ランク表を確認できず,個人面接（目安5分）,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接。,8,school_detail_confirmed,True
oroku-f,小禄,おろく,沖縄県立小禄高等学校,普通科,普通,全日制,南部,令和8年度,previous_reference,280,70,25,5:5,standard_5_5,True,通常枠は評定平均3.2以上／特別枠は評定平均2.8以上,特別活動／部活動・文化活動／資格／社会活動／当該年度の公式ランク表を確認できず,個人面接（目安5分）,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接。,8,school_detail_confirmed,True
oroku-gei,小禄,おろく,沖縄県立小禄高等学校,普通科,芸術教養,全日制,南部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,美術または音楽の評定平均4.0以上／学校資料の出欠・活動要件を満たすこと,特別活動／部活動・文化活動／資格／社会活動／当該年度の公式ランク表を確認できず,個人面接（目安5分）,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・実技。,8,school_detail_confirmed,True
futenma-f,普天間,ふてんま,沖縄県立普天間高等学校,普通科,,全日制,中部,令和8年度,previous_reference,360,90,25,4.5:5.5,exam_emphasis_4_5_5_5,True,3年間の評定合計100以上／評定1がないこと／学校の実績ランク基準を満たす活動・資格を有すること,スポーツ／文化／資格／生徒会・社会活動／学校別実績表あり,個人面接（目安5分）／15点,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。 検査は面接。,7,school_detail_confirmed,True
motobu-sf,本部,もとぶ,沖縄県立本部高等学校,普通科,スポーツ・保育福祉,全日制,北部,令和8年度,previous_reference,40,8,20,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,生徒会・学級活動／探究・研究／部活動・文化活動／資格／ボランティア／学校別実績表あり,個人面接（面接官2人、目安15分）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,9,school_detail_confirmed,True
motobu-sj,本部,もとぶ,沖縄県立本部高等学校,普通科,進学・情報,全日制,北部,令和8年度,previous_reference,40,8,20,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,生徒会・学級活動／探究・研究／部活動・文化活動／資格／ボランティア／学校別実績表あり,個人面接（面接官2人、目安15分）／100点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,9,school_detail_confirmed,True
okiko-doboku,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,土木科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／3年間の欠席日数10日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・学校独自検査・独自検査。,11,school_detail_confirmed,True
okiko-kagaku,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,工業化学科,,全日制,南部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.0以上／3年間の欠席日数30日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・学校独自検査・独自検査。,11,school_detail_confirmed,True
okiko-kenchiku,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,建築科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／3年間の欠席日数10日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・学校独自検査・独自検査。,11,school_detail_confirmed,True
okiko-johoden,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,情報電子科,,全日制,南部,令和8年度,previous_reference,80,24,30,5:5,standard_5_5,True,評定平均3.3以上／3年間の欠席日数10日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・学校独自検査・独自検査。,11,school_detail_confirmed,True
okiko-seikatsu,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,生活情報科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／3年間の欠席日数10日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・学校独自検査・独自検査。,11,school_detail_confirmed,True
okiko-denshiki,沖縄工業,おきなわこうぎょう,沖縄県立沖縄工業高等学校,電子機械科,,全日制,南部,令和8年度,previous_reference,80,24,30,5:5,standard_5_5,True,評定平均3.0以上／3年間の欠席日数10日以下,生徒会・学級活動・学校行事等／文化・社会・ボランティア活動／部活動／資格取得／学校別実績表あり,個人面接（1人15分程度、受検生1名に教職員2名）／30点,独自検査／面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・学校独自検査・独自検査。,11,school_detail_confirmed,True
okisui-ks,沖縄水産,おきなわすいさん,沖縄県立沖縄水産高等学校,海洋サイエンス科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,総合学科の学校資料に定める評定・出欠・活動要件を満たすこと,海洋・水産分野の活動／部活動・文化活動／資格／特別活動・社会活動／学校別実績表あり／公式表主要行確認済み・全セル要確認,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・個人面接。,8,school_detail_partial,True
okisui-kg,沖縄水産,おきなわすいさん,沖縄県立沖縄水産高等学校,海洋技術科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.2以上を含む、海洋技術科の学校資料の出願要件を満たすこと,海洋・水産分野の活動／部活動・文化活動／資格／特別活動・社会活動／学校別実績表あり／公式表主要行確認済み・全セル要確認,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・個人面接。,8,school_detail_partial,True
okisui-sg,沖縄水産,おきなわすいさん,沖縄県立沖縄水産高等学校,総合学科,,全日制,南部,令和8年度,previous_reference,160,48,30,5:5,standard_5_5,True,海洋サイエンス科の学校資料に定める評定・出欠・活動要件を満たすこと,海洋・水産分野の活動／部活動・文化活動／資格／特別活動・社会活動／学校別実績表あり／公式表主要行確認済み・全セル要確認,個人面接／10分程度／50点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・個人面接。,8,school_detail_partial,True
tomari-am,泊,とまり,沖縄県立泊高等学校,普通科,午前部,定時制,南部,令和8年度,previous_reference,120,24,20,5:5,standard_5_5,True,評定平均2.8以上／午前部の学校資料に定める生活・出欠等の条件を満たすこと,当該年度の公式ランク表を確認できず,部別の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
tomari-night,泊,とまり,沖縄県立泊高等学校,普通科,夜間部,定時制,南部,令和8年度,previous_reference,40,8,20,5:5,standard_5_5,True,夜間部の学校資料に定める出願要件を満たすこと,当該年度の公式ランク表を確認できず,部別の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
urasoe-f,浦添,うらそえ,沖縄県立浦添高等学校,普通科,,全日制,中部,令和8年度,previous_reference,360,90,25,5:5,standard_5_5,True,活動分野（ア）～（オ）のいずれか1つを申請／申請実績を証明する書類を提出,生徒会・学級役員等のリーダー活動／スポーツ・文化活動の大会実績／社会的活動／ボランティア活動／資格・検定／学校別実績表あり,個人面接（約5分）,面接／特別枠実技,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・実技・特別枠実技。,8,school_detail_confirmed,True
urasho-it,浦添商業,うらそえしょうぎょう,沖縄県立浦添商業高等学校,ITビジネス科,,全日制,中部,令和8年度,previous_reference,40,8,20,5:5,standard_5_5,True,3年間の評定合計80以上（平均3.0以上）／中学3年の国語・社会・数学・理科・英語がすべて3以上／指定する活動分野のいずれかに該当すること,スポーツ（野球、女子ソフトボール、男子ハンドボール等）／商業活動・コンテスト／探究・地域活動／資格／実績加点なし,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接・個人面接。,8,school_detail_confirmed,True
urasho-kigyo,浦添商業,うらそえしょうぎょう,沖縄県立浦添商業高等学校,企業システム科,,全日制,中部,令和8年度,previous_reference,160,32,20,5:5,standard_5_5,True,3年間の評定合計80以上（平均3.0以上）／中学3年の国語・社会・数学・理科・英語がすべて3以上／指定する活動分野のいずれかに該当すること,スポーツ（野球、女子ソフトボール、男子ハンドボール等）／商業活動・コンテスト／探究・地域活動／資格／実績加点なし,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接・個人面接。,8,school_detail_confirmed,True
urasho-kanko,浦添商業,うらそえしょうぎょう,沖縄県立浦添商業高等学校,国際観光科,,全日制,中部,令和8年度,previous_reference,80,16,20,5:5,standard_5_5,True,3年間の評定合計80以上（平均3.0以上）／中学3年の国語・社会・数学・理科・英語がすべて3以上／指定する活動分野のいずれかに該当すること,スポーツ（野球、女子ソフトボール、男子ハンドボール等）／商業活動・コンテスト／探究・地域活動／資格／実績加点なし,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接・個人面接。,8,school_detail_confirmed,True
urako-interior,浦添工業,うらそえこうぎょう,沖縄県立浦添工業高等学校,インテリア科,,全日制,中部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.0以上／欠席3年間合計30日以内,特別活動／部活動・文化活動／資格／専門分野の活動／学校別実績表あり,個人面接／15分程度／70点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
urako-design,浦添工業,うらそえこうぎょう,沖縄県立浦添工業高等学校,デザイン科,,全日制,中部,令和8年度,previous_reference,80,32,40,5:5,standard_5_5,True,評定平均3.0以上／欠席3年間合計30日以内,特別活動／部活動・文化活動／資格／専門分野の活動／学校別実績表あり,作品プレゼンテーション後の個人面接／15分程度／250点,作品プレゼンテーション・面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・プレゼン・作品プレゼンテーション・面接。,9,school_detail_confirmed,True
urako-kenchiku,浦添工業,うらそえこうぎょう,沖縄県立浦添工業高等学校,建築科,,全日制,中部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.0以上／欠席3年間合計30日以内,特別活動／部活動・文化活動／資格／専門分野の活動／学校別実績表あり,個人面接／15分程度／70点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
urako-johogi,浦添工業,うらそえこうぎょう,沖縄県立浦添工業高等学校,情報技術科,,全日制,中部,令和8年度,previous_reference,80,32,40,5:5,standard_5_5,True,評定平均3.0以上／欠席3年間合計30日以内,特別活動／部活動・文化活動／資格／専門分野の活動／学校別実績表あり,個人面接／15分程度／70点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
urako-chori,浦添工業,うらそえこうぎょう,沖縄県立浦添工業高等学校,調理科,,全日制,中部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.5以上／各学年の欠席5日以内,特別活動／部活動・文化活動／資格／専門分野の活動／学校別実績表あり,個人面接／15分程度／70点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
kyuyo-bunri,球陽,きゅうよう,沖縄県立球陽高等学校,文理探究科,,全日制,中部,令和8年度,previous_reference,280,126,45,4:6,exam_emphasis_4_6,True,3年間の評定平均4.3以上（評定合計115以上）／文化・スポーツ・社会・ボランティア・資格のいずれか1つの実績を証明できること,文化／スポーツ／社会活動／ボランティア／資格／当該年度の公式ランク表を確認できず,エントリーシートを踏まえた面接,数学の学校独自検査／英語の学校独自検査／面接・エントリーシート,令和8年度参考。一般選抜は4:6。特色選抜は45%以内。 検査は面接・学校独自検査・数学の学校独自検査・英語の学校独自検査・面接・エントリーシート。,7,school_detail_confirmed,True
mawashi-fuku,真和志,まわし,沖縄県立真和志高等学校,みらい福祉,,全日制,南部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定合計81以上（平均3.0以上）／学校資料の活動実績・出欠要件を満たすこと,文化・スポーツ／資格／特別活動・社会活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,8,school_detail_confirmed,True
mawashi-arts,真和志,まわし,沖縄県立真和志高等学校,普通科,クリエイティブアーツ,全日制,南部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,評定合計81以上（平均3.0以上）／学校資料の活動実績・出欠要件を満たすこと,文化・スポーツ／資格／特別活動・社会活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・プレゼン・実技。,8,school_detail_confirmed,True
mawashi-f,真和志,まわし,沖縄県立真和志高等学校,普通科,普通,全日制,南部,令和8年度,previous_reference,120,24,20,5:5,standard_5_5,True,評定合計81以上（平均3.0以上）／学校資料の活動実績・出欠要件を満たすこと,文化・スポーツ／資格／特別活動・社会活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
chinen-f,知念,ちねん,沖縄県立知念高等学校,普通科,,全日制,南部,令和8年度,previous_reference,320,80,25,4.5:5.5,exam_emphasis_4_5_5_5,True,3年間の評定平均3.0以上／3年間で評定1の科目がない／3年間の無届欠席が5日未満／中学校3年間で学校の定める活動実績に該当する,文化・スポーツ／資格／特別活動・社会活動／学校別実績表あり,スピーチを含む面接／5点,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。 検査は面接・プレゼン。,9,school_detail_confirmed,True
