existing_id,school_name,department,item,status,reason,searched_sources,recommended_next_action
nago-f,名護,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nago-f,名護,普通科,配点,not_published,学校公式資料は選抜項目と実績ランクを示すが、項目別の配点数値を掲載していない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-04-main / school-04-page,令和9年度学校別選抜方法の公開後に再確認する。
nagosho-sh,名護商工,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nagosho-cs,名護商工,地域産業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nagosho-kd,名護商工,工業技術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nagosho-km,名護商工,工業技術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nagosho-ke,名護商工,建築科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nagosho-sj,名護商工,総合情報科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
koyo-kb,向陽,国際文科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
koyo-f,向陽,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
koyo-ri,向陽,理数科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kadena-ca,嘉手納,総合学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kadena-dd,嘉手納,総合学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
ginoza-f,宜野座,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
ginoza-f,宜野座,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-05-main / school-05-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
ginowan-f,宜野湾,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
ginowan-joho,宜野湾,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
ginowan-spo,宜野湾,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyako-br,宮古,文理探究科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyako-br,宮古,文理探究科,実績ランク詳細,not_found,学校公式の選抜方法は確認したが、活動実績・資格の個別ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-37-main / school-37-page / miyako-r8-criteria / miyako-r8-rank,学校公式サイトの令和9年度入試資料公開時に別紙ランク表を再検索する。
miyako-f,宮古,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyako-f,宮古,普通科,実績ランク詳細,not_found,学校公式の選抜方法は確認したが、活動実績・資格の個別ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-37-main / school-37-page / miyako-r8-criteria / miyako-r8-rank,学校公式サイトの令和9年度入試資料公開時に別紙ランク表を再検索する。
miyakoko-sj,宮古工業,生活情報科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyakoko-sj,宮古工業,生活情報科,実績ランク詳細,not_found,活動実績は75点×最大2項目と確認できたが、ランク・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-49-criteria / school-49-main / school-49-page,令和9年度資料公開時に、学校が別紙評価基準を公開するか再確認する。
miyakoko-jm,宮古工業,自動車機械システム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyakoko-jm,宮古工業,自動車機械システム科,実績ランク詳細,not_found,活動実績は75点×最大2項目と確認できたが、ランク・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-49-criteria / school-49-main / school-49-page,令和9年度資料公開時に、学校が別紙評価基準を公開するか再確認する。
miyakoko-dj,宮古工業,電気情報科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyakoko-dj,宮古工業,電気情報科,実績ランク詳細,not_found,活動実績は75点×最大2項目と確認できたが、ランク・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-49-criteria / school-49-main / school-49-page,令和9年度資料公開時に、学校が別紙評価基準を公開するか再確認する。
miyasou-sh,宮古総合実業,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyasou-kk,宮古総合実業,海洋科学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyasou-sf,宮古総合実業,生活福祉科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyasou-sb,宮古総合実業,生物生産科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyasou-fc,宮古総合実業,食と環境科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miyasou-kc,宮古総合実業,食と環境科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
oroku-biz,小禄,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
oroku-f,小禄,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
oroku-gei,小禄,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
oroku-biz,小禄,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-28-criteria-detail / school-28-main / school-28-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
oroku-f,小禄,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-28-criteria-detail / school-28-main / school-28-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
oroku-gei,小禄,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-28-criteria-detail / school-28-main / school-28-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
futenma-f,普天間,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
motobu-sf,本部,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
motobu-sj,本部,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-doboku,沖縄工業,土木科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-kagaku,沖縄工業,工業化学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-kenchiku,沖縄工業,建築科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-johoden,沖縄工業,情報電子科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-seikatsu,沖縄工業,生活情報科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okiko-denshiki,沖縄工業,電子機械科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okisui-ks,沖縄水産,海洋サイエンス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okisui-ks,沖縄水産,海洋サイエンス科,実績ランク詳細,needs_review,公式PDFのURL・資料名・主要本文は確認済みだが、学校サーバーが継続して502エラーを返すため、表の全セルを直接再確認できない。確認できた配点・資格級・主要ランクは収録済みで、未確認部分は推測していない。,school-57-rank / school-57-criteria / school-57-page,学校サーバー復旧後に公式PDFを再取得し、現在のpartial行と全セルを照合する。
okisui-kg,沖縄水産,海洋技術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okisui-kg,沖縄水産,海洋技術科,実績ランク詳細,needs_review,公式PDFのURL・資料名・主要本文は確認済みだが、学校サーバーが継続して502エラーを返すため、表の全セルを直接再確認できない。確認できた配点・資格級・主要ランクは収録済みで、未確認部分は推測していない。,school-57-rank / school-57-criteria / school-57-page,学校サーバー復旧後に公式PDFを再取得し、現在のpartial行と全セルを照合する。
okisui-sg,沖縄水産,総合学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
okisui-sg,沖縄水産,総合学科,実績ランク詳細,needs_review,公式PDFのURL・資料名・主要本文は確認済みだが、学校サーバーが継続して502エラーを返すため、表の全セルを直接再確認できない。確認できた配点・資格級・主要ランクは収録済みで、未確認部分は推測していない。,school-57-rank / school-57-criteria / school-57-page,学校サーバー復旧後に公式PDFを再取得し、現在のpartial行と全セルを照合する。
tomari-am,泊,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
tomari-night,泊,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
tomari-am,泊,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-59-main / school-59-nightPage / school-59-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
tomari-night,泊,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-59-main / school-59-nightPage / school-59-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
tomari-am,泊,普通科,配点,not_published,令和8年度学校公式募集要項に項目別の配点数値が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-59-main / school-59-nightPage / school-59-page,令和9年度資料公開後に配点の新規掲載がないか再確認する。
tomari-night,泊,普通科,配点,not_published,令和8年度学校公式募集要項に項目別の配点数値が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-59-main / school-59-nightPage / school-59-page,令和9年度資料公開後に配点の新規掲載がないか再確認する。
urasoe-f,浦添,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urasho-it,浦添商業,ITビジネス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urasho-kigyo,浦添商業,企業システム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urasho-kanko,浦添商業,国際観光科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urako-interior,浦添工業,インテリア科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urako-design,浦添工業,デザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urako-kenchiku,浦添工業,建築科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urako-johogi,浦添工業,情報技術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
urako-chori,浦添工業,調理科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kyuyo-bunri,球陽,文理探究科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kyuyo-bunri,球陽,文理探究科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-14-main / school-14-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
mawashi-fuku,真和志,みらい福祉,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
mawashi-fuku,真和志,みらい福祉,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-27-criteria-detail / school-27-main / school-27-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
mawashi-arts,真和志,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
mawashi-f,真和志,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
mawashi-arts,真和志,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-27-criteria-detail / school-27-main / school-27-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
mawashi-f,真和志,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-27-criteria-detail / school-27-main / school-27-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
chinen-f,知念,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
ishikawa-f,石川,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
itoman-f,糸満,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-it,美来工科,ITシステム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-cd,美来工科,コンピュータデザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-dk,美来工科,土木工学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-ms,美来工科,機械システム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-jd,美来工科,自動車工学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
miraikoka-es,美来工科,電子システム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misato-f,美里,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
